sector,industry,symbol,ticker,bb_name
Consumer Defensive,Packaged Foods,6186.HK,6186.HK,6186_HK
Technology,Semiconductor Equipment & Materials,6323.T,6323.T,6323_JP
Energy,Oil & Gas Refining & Marketing,6505.TW,6505.TW,6505_TT
Technology,Consumer Electronics,6758.T,6758.T,6758_JP
Consumer Cyclical,Restaurants,6862.HK,6862.HK,6862_HK
,,688519.SS,688519.SS,688519_CH
Industrials,Specialty Industrial Machinery,7011.T,7011.T,7011_JP
Basic Materials,Building Materials,0743.HK,0743.HK,743_HK
Energy,Oil & Gas E&P,8031.T,8031.T,8031_JP
Industrials,Conglomerates,8058.T,8058.T,8058_JP
Technology,Electronic Components,8074.TWO,8074.TWO,8074_TT
Energy,Oil & Gas Integrated,0857.HK,0857.HK,857_HK
Energy,Oil & Gas E&P,0883.HK,0883.HK,883_HK
Basic Materials,Chemicals,900921.SS,900921.SS,900921_CH
Utilities,Utilities—Independent Power Producers,0902.HK,0902.HK,902_HK
Consumer Cyclical,Packaging & Containers,0906.HK,0906.HK,906_HK
Basic Materials,Building Materials,0914.HK,0914.HK,914_HK
Utilities,Utilities—Renewable,0916.HK,0916.HK,916_HK
Communication Services,Telecom Services,0941.HK,0941.HK,941_HK
Utilities,Utilities—Renewable,9501.T,9501.T,9501_JP
Consumer Defensive,Beverages—Non-Alcoholic,9633.HK,9633.HK,9633_HK
Industrials,Engineering & Construction,9933.TW,9933.TW,9933_TT
Real Estate,Real Estate—Development,9968.HK,9968.HK,9968_HK
Consumer Defensive,Packaged Foods,AAK.ST,AAK.ST,AAK_SS
Financial Services,Mortgage Finance,AAVAS.NS,AAVAS.NS,AAVAS_IN
