Date,Open,High,Low,Close
2019-07-10,94.0,94.0,93.75,93.75
2019-07-11,93.75,94.0,93.75,93.75
2019-07-12,93.75,93.75,93.25,93.25
2019-07-15,93.5,95.0,93.0,93.0
2019-07-17,93.5,93.5,93.5,93.5
2019-07-18,93.0,93.0,93.0,93.0
2019-07-19,96.5,96.5,96.5,96.5
2019-07-22,96.5,96.5,96.5,96.5
2019-07-23,96.5,96.5,96.5,96.5
2019-07-24,96.5,96.5,96.5,96.5
2019-07-25,96.5,96.5,96.5,96.5
2019-07-26,93.0,93.0,92.75,93.0
2019-07-30,93.0,93.0,93.0,93.0
2019-07-31,93.0,93.0,93.0,93.0
2019-08-01,93.5,93.5,92.75,92.75
2019-08-02,92.75,92.75,92.75,92.75
2019-08-05,92.25,92.5,92.25,92.5
2019-08-06,92.0,92.0,91.75,91.75
2019-08-07,91.75,91.75,91.75,91.75
2019-08-08,95.0,95.0,95.0,95.0
2019-08-09,92.0,92.25,90.75,90.75
2019-08-13,90.5,91.0,90.0,91.0
2019-08-14,91.0,91.0,91.0,91.0
2019-08-15,90.0,90.5,88.0,90.5
2019-08-16,90.75,90.75,90.75,90.75
2019-08-19,92.0,92.0,92.0,92.0
2019-08-20,92.0,92.0,92.0,92.0
2019-08-21,92.0,92.5,92.0,92.5
2019-08-22,92.5,92.5,92.0,92.0
2019-08-23,92.0,92.0,92.0,92.0
2019-08-26,91.0,91.75,91.0,91.75
2019-08-27,91.0,91.0,91.0,91.0
2019-08-28,91.0,91.0,91.0,91.0
2019-08-29,90.0,90.0,90.0,90.0
2019-08-30,89.0,89.0,89.0,89.0
2019-09-02,89.0,90.0,89.0,90.0
2019-09-03,90.0,90.0,90.0,90.0
2019-09-04,90.0,90.0,90.0,90.0
2019-09-05,92.0,92.0,92.0,92.0
2019-09-06,92.0,92.0,92.0,92.0
2019-09-09,92.0,92.0,92.0,92.0
2019-09-10,92.0,92.0,92.0,92.0
2019-09-11,91.0,91.0,91.0,91.0
2019-09-12,91.0,91.0,91.0,91.0
2019-09-13,91.0,91.0,91.0,91.0
2019-09-16,91.0,91.0,91.0,91.0
2019-09-17,91.0,91.0,91.0,91.0
2019-09-18,90.0,90.0,90.0,90.0
2019-09-19,90.0,90.0,90.0,90.0
2019-09-20,90.0,90.0,90.0,90.0
2019-09-23,90.0,90.0,90.0,90.0
2019-09-24,90.0,90.0,89.0,90.0
2019-09-25,90.0,90.0,90.0,90.0
2019-09-26,89.75,90.0,89.75,89.75
2019-09-27,89.75,89.75,89.75,89.75
2019-09-30,89.75,89.75,89.75,89.75
2019-10-01,89.75,89.75,89.75,89.75
2019-10-02,89.75,89.75,89.75,89.75
2019-10-03,89.75,89.75,89.75,89.75
2019-10-04,89.75,89.75,89.75,89.75
2019-10-07,89.75,89.75,89.75,89.75
2019-10-08,89.75,89.75,89.75,89.75
